,A,D,H
212,0.33145059128905363,0.27730008560942065,0.3912493231015261
213,0.5200463937030319,0.2258485034213982,0.25410510287557
214,0.21927346231951964,0.2631451584638073,0.5175813792166739
215,0.30114821944097914,0.2760674805418024,0.42278430001721895
216,0.554095265000628,0.21078636526614758,0.235118369733225
217,0.10358725663067553,0.20523126566502853,0.6911814777042954
218,0.1141880362485751,0.21673838239795237,0.6690735813534721
219,0.5374534875244004,0.2207436127611067,0.24180289971449329
220,0.150875317353662,0.23369210557355713,0.6154325770727798
221,0.12142151183004535,0.22421634816021246,0.6543621400097414
222,0.3584753860892787,0.27719706530096944,0.36432754860975125
223,0.1329707159224558,0.23192417180081162,0.6351051122767318
224,0.20526339991232923,0.2613697395087109,0.5333668605789604
225,0.12009005691934604,0.22679461570029746,0.6531153273803558
226,0.36105206334601553,0.2689715011181541,0.3699764355358301
227,0.258052595025868,0.2768490582413302,0.465098346732802
228,0.46632454523021116,0.2405277720031163,0.2931476827666723
229,0.5070654522464364,0.22827928552575671,0.2646552622278065
230,0.5591238399235673,0.21222286005079888,0.22865330002563442
231,0.10429006459395102,0.21212934567465158,0.6835805897313969
232,0.5514604060177587,0.21447246913203383,0.23406712485020803
233,0.2264922154215478,0.26304676499791285,0.5104610195805402
234,0.33132854878039125,0.2701532877570385,0.3985181634625707
235,0.3186919193432699,0.27942780123266414,0.40188027942406584
236,0.24402700543959008,0.27754643066758156,0.47842656389282856
237,0.11367463933597317,0.2115477979441646,0.6747775627198612
238,0.4922536427036764,0.235115322356506,0.2726310349398175
239,0.299945996779386,0.2808830133268955,0.41917098989371815
240,0.22219011122618595,0.2631555786142712,0.5146543101595431
241,0.22160514845609158,0.27039160900051823,0.5080032425433898
242,0.5419992380792719,0.21594334394030634,0.24205741798042263
243,0.2243871551298418,0.26668146628712125,0.5089313785830378
244,0.1616018458188415,0.24387156776426128,0.5945265864168968
245,0.4053660750341216,0.2625909087302634,0.3320430162356149
246,0.11285313747856238,0.21407593713646997,0.6730709253849666
247,0.37355878307801854,0.27457252039555474,0.3518686965264264
248,0.25223065671565714,0.2680053787471926,0.47976396453715014
249,0.1636078393932271,0.25986362529888357,0.5765285353078893
250,0.4868639302848755,0.23631607851361439,0.2768199912015099
251,0.37576887264042674,0.2738810649134846,0.3503500624460881
252,0.5150093871741506,0.2254793178605828,0.2595112949652669
253,0.3695325727939129,0.2695131552586601,0.3609542719474272
254,0.15174633153223954,0.250223891034431,0.5980297774333281
255,0.3335608027126305,0.2658256665565713,0.4006135307307984
256,0.3584753860892787,0.27719706530096944,0.36432754860975125
257,0.16609973825259974,0.26283261616975856,0.5710676455776414
258,0.23419907254553027,0.27211043365552606,0.4936904937989447
259,0.114207610959193,0.21269484345806056,0.6730975455827456
260,0.5501724743761875,0.21488234706957138,0.23494517855424166
261,0.5547811419815586,0.21088435449974255,0.2343345035186991
262,0.2069842951435652,0.2584777955198081,0.5345379093366273
263,0.2757127027979423,0.2789421626236514,0.44534513457840597
264,0.11108637126394624,0.2097005056446825,0.6792131230913703
265,0.12507359956589875,0.22399275681404182,0.6509336436200582
